State	 Location 	Latitude 	Longitude	PIN code		
Orissa	 Deograh 	21.53	84.77			
Orissa	 Dhamra 	20.80	86.93			
Orissa	 Dhenkanal 	20.67	85.63	759001		
Orissa	 False Point 	20.33	86.77			
Orissa	 Ganjam 	19.37	85.10	761026		
Orissa	 Gopalpur 	19.27	84.95	756044		
Orissa	 Hindol 	20.60	85.23	759022		
Orissa	 Hirakund Dam and Res. 	21.50	84.00			
Orissa	 Jaypore 	18.87	82.63	764001		
Orissa	 Junagarh 	19.87	82.98	766014		
Orissa	 Kainitira 	20.75	84.62			
Orissa	 Kalahandi Karond 	19.67	83.00			
Orissa	 Karanjia 	21.72	87.12	758044		
Orissa	 Karond Kalahandi 	19.67	83.00			
Orissa	 Kendrapara 	20.50	86.47	752018		
Orissa	 Keonjhar (Nijgarh) 	21.50	85.50			
Orissa	 Khandpara 	20.27	85.22			
Orissa	 Khondmals 	20.70	84.33			
Orissa	 Khurda 	20.18	85.67	752055		
Orissa	 Kolabira 	21.82	84.25	768213		
Orissa	 Konarak Black Pagoda 	19.88	86.13			
Orissa	 Kotapad 	19.07	82.40			
Orissa	 Lahara 	21.43	85.23			
Orissa	 Mahanadi R. 	20.32	86.75			
Orissa	 Malkangiri 	18.37	81.93	764036		
Orissa	 Narsinghpur 	20.47	85.12	487001		
Orissa	 Nayagarh 	20.13	85.13	752069		
Orissa	 Nilgarh (Keonjhar) 	21.50	85.50			
Orissa	 Nilgiri 	21.45	86.82			
Orissa	 Palmyras Point 	20.75	87.03			
Orissa	 Paradip 	20.05	86.92			
Orissa	 Parlakimidi 	18.78	84.13			
Orissa	 Patna 	20.00	83.20	800001		
Orissa	 Puri 	19.80	85.87	751001		
Orissa	 Ramagiri-Udayagiri 	19.07	83.92			
Orissa	 Rampur 	21.08	84.37	175042		
Orissa	 Ranpur 	20.07	85.38	363610		
Orissa	 Rayagada 	19.15	83.45	754004		
Orissa	 Rourkela 	22.42	85.00	769001		
Orissa	 Sambalpur 	21.47	84.02	768001		
Orissa	 Talcher 	20.95	85.27			
Orissa	 Tigiria 	20.47	84.57	754030		
Pondy	 Karaikal 	10.92	79.87	609601		
Punjab	 Amritsar 	31.62	74.92	143001		
Punjab	 Anandpur 	31.25	76.57	464112		
Punjab	 Batala 	31.82	75.23	143505		
Punjab	 Bathinda 	30.18	75.00			
Punjab	 Charkhi Dadri 	28.62	76.32	123306		
Punjab	 Dasuya 	31.82	75.70			
Punjab	 Derababa' Nanak 	32.03	75.07			
Punjab	 Dharmkot 	30.93	75.23			
Punjab	 Dinanagar 	32.13	75.52			
